QUEST_ID,QUEST_NAME,DIFFICULTY,REWARD_GOLD,REQUIRED_GRADE
2001,Wolf Hunt,5,1632,S
2002,Goblin Cave,1,441,C
2003,Herb Collect,4,1409,A
2004,Bandit Chase,4,1668,A
2005,Crystal Mine,2,724,B
2006,Dragon Trace,2,784,B
2007,Ancient Gate,3,892,A
2008,Lost Relic,3,1204,A
2009,River Guard,2,622,B
2010,Forest Patrol,3,1011,A
2011,Desert Escort,5,1342,S
2012,Harbor Defense,5,2189,S
2013,Shadow Nest,3,1115,A
2014,Frozen Peak,1,359,C
2015,Ruins Survey,5,1515,S
2016,Supply Rescue,3,1379,A
2017,Magic Stone,4,1849,A
2018,Dark Ritual,2,606,B
2019,Sky Tower,3,1080,A
2020,Iron Fortress,5,1639,S
2021,Spider Lair,5,1540,S
2022,Mushroom Field,1,378,C
2023,Ghost Village,2,698,B
2024,Storm Coast,5,1816,S
2025,Lava Path,4,1579,A
2026,Silver Lake,5,1488,S
2027,Orc Camp,1,434,C
2028,Golden Chest,5,1932,S
2029,Poison Marsh,2,755,B
2030,Mirror Hall,2,816,B
2031,Bone Yard,3,1116,A
2032,Hidden Shrine,4,1475,A
2033,Red Canyon,2,667,B
2034,Blue Temple,4,1513,A
2035,Moon Garden,3,1260,A
2036,Sunken Ship,5,1723,S
2037,Black Market,3,1032,A
2038,White Bridge,5,1620,S
2039,King Road,2,679,B
2040,Silent Library,5,1768,S
2041,Wild Plains,5,1785,S
2042,Deep Tunnel,1,336,C
2043,Thunder Ridge,3,1024,A
2044,Eagle Cliff,5,1463,S
2045,Amber Cave,3,1375,A
2046,Fallen Tree,2,850,B
2047,Snow Camp,3,842,A
2048,Secret Door,3,1219,A
2049,Giant Arena,5,1942,S
2050,Final Beacon,4,1831,A
